amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	fulfilled-by 
405-0491155-0201115	405-0491155-0201115	2017-07-28T07:08:02+00:00	2017-07-28T15:13:33+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	849.0								MUMBAI	MAHARASHTRA	400099	IN		
407-2713724-8232364	407-2713724-8232364	2017-07-28T06:55:58+00:00	2017-07-28T06:56:04+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Cancelled	0										PALLIKKUNNU	KERALA	670004	IN		
404-2007121-4597169	404-2007121-4597169	2017-07-27T01:52:38+00:00	2017-07-27T05:54:47+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0								jagraon. Distt ludhiana	punjab	142026	IN		
404-0287446-0624343	404-0287446-0624343	2017-07-26T21:46:45+00:00	2017-07-27T05:34:09+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0								KOLKATA	WEST BENGAL	700033	IN		
408-5230363-7859542	408-5230363-7859542	2017-07-26T13:29:12+00:00	2017-07-26T17:46:20+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Shipped	2	INR	1698.0								mumbai	maharashtra	400063	IN		
408-9982778-3908366	408-9982778-3908366	2017-07-26T07:18:08+00:00	2017-07-26T13:18:57+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	2	INR	1698.0		33.33					33.33	MADURAI	TAMIL NADU	625020	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
404-4912361-2817159	404-4912361-2817159	2017-07-25T20:31:20+00:00	2017-07-26T05:17:21+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0								NEW DELHI	Delhi	110002	IN		
407-6220103-0534715	407-6220103-0534715	2017-07-25T05:23:32+00:00	2017-07-25T07:38:36+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Shipped	1	INR	849.0								Hyderabad	Telangana	500046	IN		
405-4871963-2222709	405-4871963-2222709	2017-07-24T14:03:19+00:00	2017-07-24T16:32:18+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0								mumbai	maharashtra	400013	IN		
402-8768806-4109960	402-8768806-4109960	2017-07-24T11:49:37+00:00	2017-07-24T15:13:00+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	849.0		50.0						MUMBAI	MAHARASHTRA	400063	IN		
