amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	fulfilled-by 
171-9816904-5116310	171-9816904-5116310	2017-06-18T21:30:45+00:00	2017-06-19T05:23:31+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	999.0		50.0					50.0	PITHORAGARH	UTTARAKHAND	262501	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
406-6867874-9409140	406-6867874-9409140	2017-06-18T07:59:34+00:00	2017-06-18T13:18:29+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		50.0				998.0	50.0	JAIPUR	RAJASTHAN	302022	IN	IN Core Free Shipping 2015/04/08 23-48-5-108,Money Off 2017/06/12 9-47-26-410	
406-0090919-9281106	406-0090919-9281106	2017-06-18T04:04:34+00:00	2017-06-18T07:58:21+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557241	B071HPCVWT	Shipped	1	INR	999.0		50.0					50.0	BENGALURU	KARNATAKA	560042	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
407-9136059-3600346	407-9136059-3600346	2017-06-17T13:43:46+00:00	2017-06-18T04:22:22+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		50.0					50.0	KOLKATA	WEST BENGAL	700156	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
402-7400793-7289940	402-7400793-7289940	2017-06-17T05:58:39+00:00	2017-06-17T08:37:20+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	999.0		50.0				998.0	50.0	HARDWAR	UTTARAKHAND	249404	IN	IN Core Free Shipping 2015/04/08 23-48-5-108,Money Off 2017/06/12 9-47-26-410	
171-5320688-1065146	171-5320688-1065146	2017-06-16T09:07:51+00:00	2017-06-16T09:09:55+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557227	B06XYQFJPY	Cancelled	0										thane	maharashtra	400610	IN		
405-3659253-2829927	405-3659253-2829927	2017-06-14T14:28:03+00:00	2017-06-15T05:02:18+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	999.0		25.0					25.0	HYDERABAD	TELANGANA	500029	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
405-9099825-8877949	405-9099825-8877949	2017-06-14T14:26:31+00:00	2017-06-14T15:15:35+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557234	B06Y2CJ7XZ	Cancelled	0										HYDERABAD	TELANGANA	500029	IN		
408-4793297-9385906	408-4793297-9385906	2017-06-13T11:08:45+00:00	2017-06-14T07:33:40+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		50.0				998.0	50.0	NEW DELHI	DELHI	110045	IN	IN Core Free Shipping 2015/04/08 23-48-5-108,Money Off 2017/06/12 9-47-26-410	
408-3169505-2788354	408-3169505-2788354	2017-06-12T08:43:03+00:00	2017-06-13T15:09:52+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557241	B071HPCVWT	Shipped	1	INR	999.0		12.5					12.5	GURGAON	HARYANA	122001	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
408-3169505-2788354	408-3169505-2788354	2017-06-12T08:43:03+00:00	2017-06-13T15:09:52+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		12.5					12.5	GURGAON	HARYANA	122001	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
406-2571216-5582732	406-2571216-5582732	2017-06-13T06:48:27+00:00	2017-06-13T09:02:31+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557241	B071HPCVWT	Shipped	1	INR	999.0		50.0					50.0	BENGALURU	KARNATAKA	560042	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
407-3646354-5045926	407-3646354-5045926	2017-06-12T15:38:34+00:00	2017-06-13T04:13:18+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		50.0				998.0	50.0	KOLKATA	WEST BENGAL	700094	IN	IN Core Free Shipping 2015/04/08 23-48-5-108,Money Off 2017/06/12 9-47-26-410	
405-4377440-4405930	405-4377440-4405930	2017-06-12T14:25:45+00:00	2017-06-12T23:42:29+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557227	B06XYQFJPY	Shipped	2	INR	1998.0								DELHI	DELHI	110091	IN		
408-9469746-9073157	408-9469746-9073157	2017-06-12T13:24:31+00:00	2017-06-12T13:25:19+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557227	B06XYQFJPY	Cancelled	0										THANE	MAHARASHTRA	400614	IN		
