amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by 
406-7932599-9191509	406-7932599-9191509	2017-08-11T08:49:11+00:00	2017-08-12T08:50:23+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Unshipped	1	INR	899.0								PATNA	BIHAR	800027	IN		false			
171-8747521-2193103	171-8747521-2193103	2017-08-11T16:15:22+00:00	2017-08-11T23:09:05+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0		12.5					12.5	VILLUPURAM	TAMIL NADU	605602	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
406-4879752-8738727	406-4879752-8738727	2017-08-11T12:23:39+00:00	2017-08-11T19:17:27+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0		12.5					12.5	vadodara	GUJARAT	390012	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
403-1145401-1453926	403-1145401-1453926	2017-08-11T14:10:56+00:00	2017-08-11T16:27:44+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0		10.0					10.0	BENGALURU	KARNATAKA	560043	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
406-1381559-7420334	406-1381559-7420334	2017-08-11T09:28:47+00:00	2017-08-11T15:12:37+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0		50.0					50.0	GURUGRAM	HARYANA	122001	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
406-4770882-8711523	406-4770882-8711523	2017-08-10T08:47:47+00:00	2017-08-11T09:18:28+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Unshipped	1	INR	899.0								JAMMU	JAMMU & KASHMIR	180006	IN		false			
406-0296180-3828344	406-0296180-3828344	2017-08-11T07:21:36+00:00	2017-08-11T07:33:00+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Cancelled	0										NOIDA	UTTAR PRADESH	201301	IN		false			
405-5227346-8500365	405-5227346-8500365	2017-08-10T06:14:21+00:00	2017-08-10T14:31:52+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	2	INR	1698.0								MUMBAI	MAHARASHTRA	400052	IN		false			
405-0599067-8232367	405-0599067-8232367	2017-08-10T08:55:30+00:00	2017-08-10T13:33:21+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	899.0								NORTH LAKHIMPUR	ASSAM	787001	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
408-0447508-5183517	408-0447508-5183517	2017-08-09T18:26:35+00:00	2017-08-09T23:28:13+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	899.0		50.0					50.0	SURAT	GUJARAT	395009	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
403-6406208-4787568	403-6406208-4787568	2017-08-09T13:59:15+00:00	2017-08-09T18:27:04+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Shipped	1	INR	849.0								PUNE	MAHARASHTRA	411028	IN		false			
404-7192888-5620343	404-7192888-5620343	2017-08-09T15:14:37+00:00	2017-08-09T16:27:41+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	949.0								MUMBAI	MH	400093	IN		false			
406-9714193-0046750	406-9714193-0046750	2017-08-09T08:56:02+00:00	2017-08-09T12:52:48+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0		50.0					50.0	Lucknow	UTTAR PRADESH	226004	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
404-9334584-5644323	404-9334584-5644323	2017-08-09T07:29:23+00:00	2017-08-09T09:49:23+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0								Mumbai	MAHARASHTRA	400052	IN		false			
